subscription_id,customer_id,plan,total_usage_gb,overage_gb,total_bill,final_status
S001,C001,BASIC,60.0,10.0,599.0,ACTIVE
S002,C002,STANDARD,230.0,30.0,1299.0,ACTIVE
S003,C003,PREMIUM,550.0,0,1999.0,SUSPENDED
S004,C004,BASIC,0,0,0,CANCELLED
S005,C005,STANDARD,220.0,20.0,1199.0,ACTIVE
S006,C006,BASIC,60.0,10.0,599.0,ACTIVE
S007,C007,PREMIUM,550.0,50.0,2499.0,ACTIVE
S008,C008,STANDARD,220.0,0,999.0,SUSPENDED
S009,C009,BASIC,45.0,0,499.0,ACTIVE
S010,C010,PREMIUM,0,0,0,CANCELLED
S011,C011,STANDARD,190.0,0,999.0,ACTIVE
S012,C012,BASIC,20.0,0,499.0,ACTIVE
S013,C013,PREMIUM,550.0,50.0,2499.0,ACTIVE
S014,C014,STANDARD,230.0,30.0,1299.0,ACTIVE
S015,C015,BASIC,5.0,0,499.0,ACTIVE
S016,C016,PREMIUM,300.0,0,1999.0,ACTIVE
S017,C017,STANDARD,250.0,50.0,1499.0,ACTIVE
S018,C018,BASIC,30.0,0,499.0,ACTIVE
S019,C019,PREMIUM,600.0,100.0,2999.0,ACTIVE
S020,C020,STANDARD,0,0,0,CANCELLED
S021,C021,BASIC,40.0,0,499.0,ACTIVE
S022,C022,STANDARD,210.0,10.0,1099.0,ACTIVE
S023,C023,PREMIUM,700.0,0,1999.0,SUSPENDED
S024,C024,BASIC,55.0,5.0,549.0,ACTIVE
S025,C025,STANDARD,190.0,0,999.0,ACTIVE
S026,C026,PREMIUM,530.0,30.0,2299.0,ACTIVE
S027,C027,BASIC,10.0,0,499.0,ACTIVE
S028,C028,STANDARD,210.0,10.0,1099.0,ACTIVE
S029,C029,PREMIUM,550.0,50.0,2499.0,ACTIVE
S030,C030,BASIC,70.0,0,499.0,SUSPENDED
